Department,Country,Brand,SKU ID,SKU Name,Size,Tags
2001 WATER,ITALY,SAN PELLEGRINO,041508800075,WATER MINERAL SAN PELLEGRINO GL,0.25L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800129,WATER MINERAL SAN PELLEGRINO GL,0.75L,
2001 WATER,ITALY,SAN PELLEGRINO,041508199483,WATER S.PELLEGRINO PEACH,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508152525,WATER S.PELLEGRINO ORANGE BLOOD,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508416719,WATER S.PELLEGRINO LIME SPARKLING CIAO,11.15OZ,
2001 WATER,ITALY,SAN PELLEGRINO,041508800082,WATER MINERAL SAN PELLEGRINO PET,0.5L,
2001 WATER,ITALY,SAN PELLEGRINO,BM177,WATER SAN PELLEGRINO CIAO CHERRY CN,0.33L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800006,WATER.MIN SAN PELLEGRINO GL 1L,1L,
2001 WATER,ITALY,SAN PELLEGRINO,041508802185,WATER MINERAL SAN PELLEGRINO PET,1L,
2001 WATER,ITALY,SAN PELLEGRINO,041508803052,WATER SPARKLING SAN PELLEGRINO CN,0.33L,
2001 WATER,ITALY,SAN PELLEGRINO,041508800037,WATER MINERAL SAN PELLEGRINO GL,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,039153012189,WATER NATURAL SAN BENEDETTO PET,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO PURE,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER.SPK SAN BENEDETTO CN 0.33L,0.33L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER MINERAL SAN BENEDETTO NATURAL GL,1L,
2001 WATER,ITALY,SAN BENEDETTO,7.20196E+11,WATER MINERAL SAN BENEDETTO NATURAL PET,1.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER NATURAL SAN BENEDETTO GL,0.5L,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO GL,1L,
2001 WATER,ITALY,SAN BENEDETTO,BM171,WATER SAN BENEDETTO SPARKLING PET,1L,
2001 WATER,ITALY,SAN BENEDETTO,BM160,WATER SPARKLING SAN BENEDETTO ANTICA FONTE GL,0.65L,
2001 WATER,ITALY,SAN BENEDETTO,BM157,WATER SPARKLING SAN BENEDETTO ANTICA FONTE STILL GL,11.1OZ,
2001 WATER,ITALY,SAN BENEDETTO,8.59091E+11,WATER SPARKLING SAN BENEDETTO PET,1.5L,
2001 WATER,ITALY,ACQUA PANNA,041508600057,WATER SPRING ACQUA PANNA GL,0.25L,
2001 WATER,ITALY,ACQUA PANNA,041508634489,WATER SPRING ACQUA PANNA GL,0.75L,
2001 WATER,ITALY,ACQUA PANNA,041508600200,WATER SPRING ACQUA PANNA PET,0.5L,
2001 WATER,ITALY,ACQUA PANNA,041508600309,WATER.SPR ACQUA PANNA TUSCANY GL 1L,1L,
2001 WATER,ITALY,ACQUA PANNA,041508922487,WATER.SPR ACQUA PANNA TUSCANY PET 1L,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER.NAT LAURETANA BLUE STILL GL,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER SPARKLING LAURETANA BLUE SPARKLING GL,1L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER NATURAL LAURETANA STILL PET,1.5L,
2001 WATER,ITALY,LAURETANA,8.00419E+12,WATER NATURAL LAURETANA STILL PET,1.5L,
2001 WATER,ARMENIA,THE WELL,4.85001E+12,WATER THE WELL STILL GL,300ML,
2001 WATER,ARMENIA,ARARAT,4.85001E+12,WATER ARARAT SPARKLING GL,300ML,
2001 WATER,ARMENIA,JERMUK,4.85001E+12,WATER MINERAL JERMUK PET,1L,
2001 WATER,ARMENIA,JERMUK,4.85001E+12,WATER.MIN JERMUK CN 0.33L,0.33L,
2001 WATER,GERMANY,GEROLSTEINER,075502386679,WATER SPARKLING GEROLSTEINER GL,0.75L,
2001 WATER,POLAND,NALECZOWIANKA,6.57462E+11,WATER SPARKLING NALECZOWIANKA PET,1.5L,
2001 WATER,POLAND,NALECZOWIANKA,6.57462E+11,WATER NATURAL NALECZOWIANKA NON CARBONATED PET,1.5L,
2001 WATER,FRANCE,PERRIER,074780377416,WATER.MIN PERRIER ORANGE 0.5L,0.5L,
2001 WATER,FRANCE,PERRIER,074780468251,WATER SPARKLING  PERRIER BLACKBERRY PET,0.5L,
2001 WATER,FRANCE,PERRIER,074780439961,WATER SPARKLING PERRIER LIME PET,0.5L,
2001 WATER,FRANCE,PERRIER,074780426701,WATER SPARKLING MAISON PERRIER ULTIMATE CN,0.33L,
2001 WATER,FRANCE,EVIAN,079298112009,WATER SPRING EVIAN NATURAL PET,11.2OZ,
2001 WATER,FRANCE,EVIAN,079298000085,WATER SPRING EVIAN PET,0.5L,
2001 WATER,FRANCE,EVIAN,079298000078,WATER SPRING EVIAN PET,1L,
2001 WATER,THAILAND,TASTE NIRVANA,011259904223,WATER NATURAL TASTE NIRVANA COCONUT PULP CN,0.48L,
2001 WATER,THAILAND,TASTE NIRVANA,011259904209,WATER NATURAL TASTE NIRVANA COCONUT CN,0.48L,
2001 WATER,THAILAND,TASTE NIRVANA,011259806886,WATER NATURAL TASTE NIRVANA COCONUT PULP GL,0.28L,
2001 WATER,MEXICO,TOPO CHICO,021136010374,WATER TOPO CHICO MINERAL GL,355ML,
2001 WATER,SLOVENIA,RADENSKA,7.29816E+11,WATER.MIN RADENSKA GL,0.25L,
2001 WATER,SLOVENIA,RADENSKA,6.16618E+11,WATER.MIN RADENSKA PET,1.5L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI GL,0.5L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER SPARKLING BORJOMI PET,1.25L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI GL,0.33L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI PET,1L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI PET,0.75L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER MINERAL BORJOMI CN,0.33L,
2001 WATER,GEORGIA,GEO NATURA,4.8656E+12,WATER MINERAL GEO NATURA GLASS,0.5L,
2001 WATER,GEORGIA,NABEGHLAVI,4.8656E+12,WATER MINERAL NABEGHLAVI GL,0.5L,
2001 WATER,GEORGIA,NABEGHLAVI,4.8656E+12,WATER MINERAL NABEGHLAVI PET,0.5L,
2001 WATER,GEORGIA,NABEGHLAVI,4.8656E+12,WATER MINERAL NABEGHLAVI PET,1L,
2001 WATER,GEORGIA,NABEGHLAVI,4.8656E+12,WATER MINERAL NABEGHLAVI GL,0.2L,
2001 WATER,GEORGIA,BAKHMARO,4.8656E+12,WATER MINERAL BAKHMARO PET,0.5L,
2001 WATER,ROMANIA,BORSEC,5.94222E+12,WATER MINERAL BORSEC PET,1.5L,
2001 WATER,ROMANIA,BORSEC,5.94222E+12,WATER MINERAL BORSEC PET,0.5L,
2001 WATER,ROMANIA,BORSEC,5.94222E+12,WATER MINERAL BORSEC NOT CARBONATED PET,2L,
2001 WATER,ROMANIA,BORSEC,5.94222E+12,WATER MINERAL BORSEC GL,0.33L,
2001 WATER,ROMANIA,STANCENI,5.94222E+12,WATER MINERAL STANCENI PET,2L,
2001 WATER,FIJI,AQUA PACIFIC,8.98667E+11,WATER.MIN AQUA PACIFIC PET,0.5L,
2001 WATER,FIJI,AQUA PACIFIC,8.98667E+11,WATER.MIN AQUA PACIFIC PET,1.5L,
2001 WATER,FIJI,AQUA PACIFIC,8.98667E+11,WATER.MIN AQUA PACIFIC PET,330ML,
2001 WATER,FIJI,AQUA PACIFIC,8.98667E+11,WATER.MIN AQUA PACIFIC PET,1L,
2001 WATER,FIJI,FIJI,6.32565E+11,WATER NATURAL FIJI PET,0.5L,
2001 WATER,FIJI,FIJI,6.32565E+11,WATER.MIN FIJI PET,1.5L,
2001 WATER,ICELAND,ICELANDIC,8.93919E+11,WATER SPRING ICELANDIC NATURAL PET,1L,
2001 WATER,ICELAND,ICELANDIC,8919001240,WATER ICELANDIC SPARCLING GLASS,759ML,
2001 WATER,USA,POLAND SPRING,075720532285,WATER SPRING POLAND SPRING SPORTS PET,0.7L,
2001 WATER,USA,POLAND SPRING,075720504015,WATER SPRING POLAND SPRING PET,0.237L,
2001 WATER,ITALY,SAN BENEDETTO,25839,WATER SPARKLING SAN BENEDETTO ANTICA FONTE STILL GL,0.65L,
2001 WATER,ITALY,SAN BENEDETTO,BM73,WATER SPARKLING SAN BENEDETTO ELITE PET,16.9OZ,
2001 WATER,PORTUGAL,CARVALHELHOS,5.60141E+12,WATER CARVALHELHOS GAS GL,1L,
2001 WATER,UKRAINE,TRUSKAVETSKA,4.82012E+12,WATER MINERAL TRUSKAVETSKAYA GREEN SEMI CARBONATED PET,1.5L,
2001 WATER,USA,LA CROIX,01299310202,WATER.SPK LACROIX COCONUT CN,12OZ,
2001 WATER,USA,LA CROIX,012993111014,WATER SPARKLING LA CROIX PEACH&PEAR CN,12OZ,
2001 WATER,USA,LA CROIX,073360747519,WATER SPARKLING LA CROIX BERRY CN,12OZ,
2001 WATER,USA,POLAND SPRING,075720000043,WATER NATURAL POLAND SPRING PET,1GAL,
2001 WATER,USA,SHUR FINE,011161115526,WATER.MIN SHUR FINE NATURAL PET 1GL,1 GL,
2001 WATER,USA,PURE BABY,015000140007,WATER.MIN PURE BABY PET 1GL,1 GL,
2001 WATER,USA,DASANI,090970718001,WATER MINERAL DASANI PET,0.5L,
2001 WATER,ITALY,ACQUA PANNA,041508600156,WATER SPRING ACQUA PANNA GL,0.5L,
2001 WATER,ARMENIA,JERMUK,4.85001E+12,WATER MINERAL JERMUK GL,0.5L,
2001 WATER,POLAND,ZYWIEC,5.90054E+12,WATER.SPR ZYWIEC STRAWBERRY NO GAZ PET 0.5L,0.5L,
2001 WATER,POLAND,MUSZYNIANKA,8.34459E+11,WATER MINERAL MUSZYNIANKA GREEN PET,1.5L,
2001 WATER,POLAND,MUSZYNIANKA,8.34459E+11,WATER.MIN MUSZYNIANKA BLUE PET,1.5L,
2001 WATER,FRANCE,PERRIER,074780515504,WATER SPARKLING MAISON PERRIER ULTIMATE PET,0.5L,
2001 WATER,FRANCE,PERRIER,747834,WATER SPARKLING PERRIER GL,0.33L,
2001 WATER,FRANCE,PERRIER,074780550352,WATER MINERAL PERRIER LIME CN,0.33L,
2001 WATER,GEORGIA,BORJOMI,4.86002E+12,WATER.MIN BORJOMI GL 12OZ,12OZ,
2001 WATER,SERBIA,VODAVODA,8.53553E+11,WATER VODAVODA ARTESIAN PET,1.5L,
2001 WATER,SERBIA,VODAVODA,91161,WATER VODAVODA ARTESIAN PET,0.5L,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA LYCHEE PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA PEACH PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA STRAWBERR PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA ORANGE PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA GRAPE PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA ORIGINAL PET,6.76OZ,
2001 WATER,JAPAN,SANGARIA RAMUNE SODA,7.33815E+11,WATER SANGARIA RAMUNE SODA MELON PET,6.76OZ,
1501 BUTTER,UKRAINE,FOUR SEASON,8.55953E+11,BUTTER FOUR SEASON ISRAEL 200G,200G,
1501 BUTTER,UKRAINE,PERVOMAISKY MKK,4.82027E+12,BUTTER PERVOMAISKY MKK CHOCOLATE,200G,
1501 BUTTER,UKRAINE,FERMA,4.82309E+12,BUTTER FERMA EXTRA 82.5%,200G,
1501 BUTTER,UKRAINE,FERMA,4.8202E+12,BUTTER FERMA CHOCOLATE 62.5%,200G,
1501 BUTTER,UKRAINE,FERMA,4.8202E+12,BUTTER FERMA  VERSHKOVE 82.5%,200G,
1501 BUTTER,UKRAINE,FERMA,4.8202E+12,BUTTER FERMA KRESTYANSKOE 73%,200G,
1501 BUTTER,UKRAINE,VOLOSHKOVE POLE,4.82027E+12,BUTTER VOLOSHKOVE POLE SWEET CREAM COUNTRY STYLE 73%,180G,
1501 BUTTER,RUSSIA,ZOLOTOE KACHESTVO,4.63116E+12,BUTTER ZOLOTOE KACHESTVO MELTED GOST,550G,
1501 BUTTER,RUSSIA,ZOLOTOE KACHESTVO,4.63115E+12,BUTTER ZOLOTOE KACHESTVO MELTED HALAL,380G,
1501 BUTTER,USA,FOUR SEASON,8.56303E+11,BUTTER FOUR SEASON VOLOGODSKOE 220G,200G,
1501 BUTTER,USA,FRESH MADE,051511092831,BUTTER FM AMISH COUNTRY,8OZ,
1501 BUTTER,USA,FRESH MADE,051511500275,BUTTER FM VOLOGODSKOE COW,8OZ,
